cluster_id;alarm_id;ne_id;NOTE SPV;domain;network;ne_type;std_probable_cause_no;geo_code;first_occurrence;last_occurrence
25400;"EFMTX;65eed1e4ce901400013b69d3";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;receiverfailure och internal receiver failure;roma;2024-03-11 10:41:56;2024-03-11 12:15:38
25400;"EFMTX;65eed21fce901400013b6a26";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;receiverfailure och internal receiver failure;roma;2024-03-11 10:42:55;2024-03-11 12:15:25
25400;"EFMTX;65eed23ece901400013b6a58";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;receiverfailure och internal receiver failure;roma;2024-03-11 10:43:26;2024-03-11 12:15:27
25400;"EFMTX;65eed23ece901400013b6a5a";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;receiverfailure och internal receiver failure;roma;2024-03-11 10:43:26;2024-03-11 12:15:24
25400;"EFMTX;65eed23ece901400013b6a5c";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;receiverfailure och internal receiver failure;roma;2024-03-11 10:43:26;2024-03-11 12:15:24
25400;"EFMTX;65eed23fce901400013b6a60";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;receiverfailure och internal receiver failure;roma;2024-03-11 10:43:27;2024-03-11 12:15:25
25400;"EFMTX;65eed240ce901400013b6a62";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;loss of signal los;roma;2024-03-11 10:43:28;2024-03-11 12:15:25
25400;"EFMTX;65eed23dce901400013b6a4e";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;receiverfailure och internal receiver failure;roma;2024-03-11 10:43:25;2024-03-11 12:15:27
25400;"EFMTX;65eed23dce901400013b6a50";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;receiverfailure och internal receiver failure;roma;2024-03-11 10:43:25;2024-03-11 12:16:16
25400;"EFMTX;65eed23dce901400013b6a53";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;receiverfailure och internal receiver failure;roma;2024-03-11 10:43:25;2024-03-11 12:16:10
